101114	1891
101114	200758
101162	202693
101162	203999
1112	1712
1112	1888
124	1710
124	1802
1627736	1626156
1629011	1626192
1629011	1630188
165	717
165	891
1717	685
1717	959
1749	1000
1894	1716
1894	1885
1894	208
200750	101120
200750	101127
200789	1716
200789	201196
201143	201952
201143	203544
201577	1894
201577	200794
201577	203124
201590	202681
201590	2544
201627	201936
201627	2566
201950	200794
201950	201936
202325	200826
202325	203145
202357	1626158
202357	1628382
202691	203076
202691	203110
202704	1628369
202704	201142
202711	201144
202711	203903
203109	101135
203109	203952
203457	203500
203457	2403
203924	1630553
203924	202331
2203	1510
2203	2548
2209	1885
2209	2575
2548	200081
2548	436
361	339
361	364
361	714
452	1425
452	2229
739	201
739	937
754	1533
754	1721
935	1904
935	1905
935	2052
949	2037
949	248
949	735
951	101126
951	219
956	101138
956	1502
956	467
